,Title,Year,Age,Rotten Tomatoes,Netflix,Amazon,emmy_nomination,emmy_win,oscar_nomination,oscar_win,Type,IMDb,Genres
0,The Irishman,2019,18+,98/100,1,0,0,0,10,0,movie,7.8,"['Biography', 'Crime', 'Drama']"
1,Dangal,2016,7+,97/100,1,0,0,0,0,0,movie,8.4,"['Action', 'Biography', 'Drama', 'Sport']"
2,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,0,movie,9.0,"['Documentary', 'Biography']"
3,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,0,movie,8.1,"['Drama', 'Musical', 'Sport']"
4,Roma,2018,18+,94/100,1,0,0,0,10,3,movie,7.7,['Drama']
5,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,0,movie,7.1,"['Comedy', 'Drama', 'Romance']"
6,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,0,movie,7.6,"['Documentary', 'Drama']"
7,Okja,2017,13+,92/100,1,0,0,0,0,0,movie,7.3,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
8,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,3,0,movie,7.3,"['Comedy', 'Drama', 'Musical', 'Mystery', 'Romance', 'Western']"
9,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,0,movie,7.8,"['Drama', 'History', 'Thriller']"
10,Article 15,2019,18+,92/100,1,0,0,0,0,0,movie,8.2,"['Crime', 'Drama', 'Mystery', 'Thriller']"
11,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,0,movie,7.7,['Documentary']
12,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Comedy', 'Drama']"
13,Mudbound,2017,18+,91/100,1,0,0,0,4,0,movie,7.4,"['Drama', 'War']"
14,Swades,2004,all,91/100,1,0,0,0,0,0,movie,8.2,"['Drama', 'Musical']"
15,Fyre,2019,18+,91/100,1,0,0,0,0,0,movie,7.2,"['Documentary', 'Crime', 'Music']"
16,Miss Americana,2020,18+,90/100,1,0,0,0,0,0,movie,7.4,"['Documentary', 'Biography', 'Music']"
17,Virunga,2014,16+,90/100,1,0,3,2,1,0,movie,8.2,"['Documentary', 'War']"
18,Black Friday,2004,18+,90/100,1,0,0,0,0,0,movie,8.5,"['Action', 'Crime', 'Drama', 'History']"
19,Talvar,2015,7+,90/100,1,0,0,0,0,0,movie,8.2,"['Crime', 'Drama', 'Mystery', 'Thriller']"
20,The King,2019,18+,90/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Drama', 'History', 'Romance', 'War']"
21,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,0,movie,8.0,['Comedy']
22,I Am Mother,2019,13+,89/100,1,0,0,0,0,0,movie,6.7,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
23,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,0,movie,7.6,"['Documentary', 'Drama', 'Mystery']"
24,The Departed,2006,18+,89/100,1,0,0,0,5,4,movie,8.5,"['Crime', 'Drama', 'Thriller']"
25,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,1,0,movie,8.4,['Documentary']
26,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,6,4,movie,8.5,"['Action', 'Sci-Fi']"
27,I Lost My Body,2019,18+,89/100,1,0,0,0,1,0,movie,7.6,"['Animation', 'Drama', 'Fantasy', 'Romance']"
28,Django Unchained,2012,18+,89/100,1,0,0,0,5,2,movie,8.4,"['Drama', 'Western']"
29,The Half of It,2020,13+,89/100,1,0,0,0,0,0,movie,6.9,"['Comedy', 'Drama', 'Romance']"
30,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,0,movie,7.6,"['Biography', 'Drama', 'History']"
31,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,0,movie,7.1,"['Crime', 'Drama', 'Thriller']"
32,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,0,movie,7.3,"['Comedy', 'Drama']"
33,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,0,movie,7.1,['Drama']
34,Gerald's Game,2017,18+,88/100,1,0,0,0,0,0,movie,6.5,"['Drama', 'Horror', 'Thriller']"
35,On Body and Soul,2017,,88/100,1,0,0,0,1,0,movie,7.6,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
36,Shutter Island,2010,18+,88/100,1,0,0,0,0,0,movie,8.2,"['Mystery', 'Thriller']"
37,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,0,movie,6.8,"['Comedy', 'Romance']"
38,The Intouchables,2011,7+,88/100,1,0,0,0,0,0,movie,8.5,"['Biography', 'Comedy', 'Drama']"
39,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,0,movie,8.2,['Comedy']
40,Special 26,2013,,87/100,1,0,0,0,0,0,movie,8.0,"['Crime', 'Drama', 'Thriller']"
41,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,0,movie,8.3,['Documentary']
42,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,0,episode,,['Talk-Show']
43,Extraction,2020,18+,87/100,1,0,0,0,0,0,movie,6.7,"['Action', 'Thriller']"
44,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,0,episode,8.5,"['Documentary', 'Biography']"
45,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,0,movie,7.4,"['Drama', 'Musical', 'Romance']"
46,His House,2020,16+,87/100,1,0,0,0,0,0,movie,6.5,"['Drama', 'Horror', 'Thriller']"
47,Super Deluxe,2019,18+,87/100,1,0,0,0,0,0,movie,8.4,"['Comedy', 'Crime', 'Drama', 'Thriller']"
48,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,0,movie,7.4,"['Drama', 'Romance', 'War']"
49,A Secret Love,2020,18+,87/100,1,0,0,0,0,0,movie,7.9,"['Documentary', 'Drama']"
50,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,0,movie,7.0,"['Action', 'Thriller']"
51,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,0,movie,8.1,"['Comedy', 'Crime', 'Sport']"
52,Pad Man,2018,13+,87/100,1,0,0,0,0,0,movie,7.9,"['Comedy', 'Drama']"
53,American Factory,2019,13+,86/100,1,0,0,0,1,1,movie,7.4,['Documentary']
